Id,Label,timeset,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,pageranks,clustering,triangles
Mizue no Uranoshimako,Mizue no Uranoshimako,,4,11,4,0.363273,0.3837,0.000028,0.00128,0.666667,4
Momiji Inubashiri,Momiji Inubashiri,,4,11,4,0.398249,0.422619,0.000032,0.001385,0.833333,5
Mononobe no Futo,Mononobe no Futo,,26,173,4,0.50838,0.553571,0.004406,0.006974,0.409231,133
Mugetsu,Mugetsu,,4,13,4,0.377593,0.400183,0.000337,0.003021,0.166667,1
Myouren Hijiri,Myouren Hijiri,,6,24,4,0.455,0.47848,0.000143,0.001608,0.466667,7
Mystia Lorelei,Mystia Lorelei,,30,172,3,0.532164,0.575092,0.010946,0.006508,0.37931,165
Narumi Yatadera,Narumi Yatadera,,5,29,3,0.43128,0.456044,0.000507,0.001447,0.7,7
User:Nazeo/Character Pages,User:Nazeo/Character Pages,,0,0,0,0,0,0,0.000815,0,0
Nazrin,Nazrin,,21,149,4,0.475196,0.52152,0.005245,0.00601,0.295238,62
Nemuno Sakata,Nemuno Sakata,,3,6,3,0.379167,0.399267,0.000028,0.000993,0.666667,2
Nitori Kawashiro,Nitori Kawashiro,,32,236,4,0.530612,0.578297,0.004941,0.007945,0.381048,189
Noroiko,Noroiko,,4,4,4,0.452736,0.472985,0.000104,0.001191,0.666667,4
Nue Houjuu,Nue Houjuu,,22,105,4,0.49863,0.539835,0.002971,0.004248,0.450216,104
Okina Matara,Okina Matara,,18,91,3,0.495913,0.53022,0.007839,0.002992,0.313725,48
Orange,Orange,,6,33,4,0.465473,0.486722,0.000074,0.002322,0.6,9
Parsee Mizuhashi,Parsee Mizuhashi,,13,38,4,0.484043,0.513278,0.000479,0.002094,0.679487,53
Patchouli Knowledge,Patchouli Knowledge,,30,500,4,0.524496,0.570971,0.003869,0.014019,0.514943,224
Pop-up Pirate,Pop-up Pirate,,1,1,4,0.369168,0.384615,0,0.00084,0,0
Prismriver Sisters,Prismriver Sisters,,15,331,4,0.47769,0.512363,0.00416,0.011991,0.447619,47
Raiko Horikawa,Raiko Horikawa,,11,25,4,0.47769,0.505037,0.000848,0.001872,0.618182,34
Ran Yakumo,Ran Yakumo,,20,185,4,0.502762,0.538919,0.000823,0.00566,0.668421,127
Reimu Hakurei,Reimu Hakurei,,130,2128,3,0.774468,0.856227,0.274,0.069346,0.126416,1060
Reisen,Reisen,,0,0,0,0,0,0,0.000815,0,0
